encontramos-|nos	encontramos|-nos	encontramo-nos	Calypso|e|encontramos-|nos|em|a
pronunciar-|se	pronunciar|-se	pronunciar-se	chamados|a|pronunciar-|se|sobre|algo
abster-|se	abster|-se	abster-se	voltariam|a|abster-|se|de|ir
abster-|se	abster|-se	abster-se	volta|a|abster-|se|e|a
Referem-|se	Referem|-se	Referem-se	Referem-|se|a|normas
acentuar-|se	acentuar|-se	acentuar-se	mundial|deverá|acentuar-|se|já|em
opondo-|se	opondo|-se	opondo-se	1992|,|opondo-|se|,|de
distancia-|se	distancia|-se	distancia-se	Casa|Branca|distancia-|se|de
inscrever-|se	inscrever|-se	inscrever-se	,|podendo|inscrever-|se|em|a
Recorde-|se	Recorde|-se	Recorde-se	Recorde-|se|que|a
dividir-|se	dividir|-se	dividir-se	começam|a|dividir-|se|de|forma
dever-|se	dever|-se	dever-se	baixa|irá|dever-|se|principalmente|a
infectaram-|nos	infectaram|-nos	infectaram-nos	seguir|,|infectaram-|nos|com|o
inicia-|se	inicia|-se	inicia-se	particulares|--|inicia-|se|cronologicamente|em
contam-|se	contam|-se	contam-se	jóias|apresentadas|contam-|se|colares|de
Assinale-|se	Assinale|-se	Assinale-se	Assinale-|se|ainda|a
chateando-|se	chateando|-se	chateando-se	dobro|,|chateando-|se|por|a
inverte-|se	inverte|-se	inverte-se	Rua|Edison|inverte-|se|o|sentido
circular-|se	circular|-se	circular-se	passando|a|circular-|se|de|a
circulando-|se	circulando|-se	circulando-se	único|,|circulando-|se|de|a
Segue-|se	Segue|-se	Segue-se	Segue-|se|a|reunião
confirmarem-|se	confirmarem|-se	confirmarem-se	A|confirmarem-|se|os|confrontos
envolveram-|se	envolveram|-se	envolveram-se	Paquistão|,|envolveram-|se|em|uma
trocando-|o	trocando|-o	trocando-o	Unidos|,|trocando-|o|por|Abel
procurar-|se	procurar|-se	procurar-se	,|devendo|procurar-|se|ver|sempre
interrogar-|nos	interrogar|-nos	interrogar-nos	,|podemos|interrogar-|nos|como|foi
chamou-|se	chamou|-se	chamou-se	O|filme|chamou-|se|«|Objectivo
classificar-|se	classificar|-se	classificar-se	como|pode|classificar-|se|a|presença
limitou-|se	limitou|-se	limitou-se	BFE|,|limitou-|se|a|dizer
cotando-|se	cotando|-se	cotando-se	baixa|,|cotando-|se|em|os
fixar-|se	fixar|-se	fixar-se	a|o|fixar-|se|em|os
intermediaram-|se	intermediaram|-se	intermediaram-se	de|Lisboa|intermediaram-|se|10,592|milhões
optou-|se	optou|-se	optou-se	os|países|optou-|se|por|a
passa-|se	passa|-se	passa-se	a|infância|passa-|se|em|a
Sofrem-|nas	Sofrem|-nas	Sofrem-nas	Sofrem-|nas|umas|vezes
encaram-|nas	encaram|-nas	encaram-nas	em|outras|encaram-|nas|como|um
respondem-|lhes	respondem|-lhes	respondem-lhes	jogo|e|respondem-|lhes|jogando|também
prende-|se	prende|-se	prende-se	medida|preconizada|prende-|se|com|o
citam-|se	citam|-se	citam-se	o|relatório|citam-|se|os|elevados
disse-|nos	disse|-nos	disse-nos	senhor|presidente|disse-|nos|que|o
te-|lo	tê|-lo	tê-lo	não|podia|te-|lo|excluído|de
apaixonarem-|se	apaixonarem|-se	apaixonarem-se	cidade|a|apaixonarem-|se|perdidamente|por
tratar-|se	tratar|-se	tratar-se	Horta|disse|tratar-|se|de|uma
explicava-|se	explicava|-se	explicava-se	as|empresas|explicava-|se|como|se
arrisca-|se	arrisca|-se	arrisca-se	os|acusados|arrisca-|se|agora|a
realizaram-|se	realizaram|-se	realizaram-se	corrente|,|realizaram-|se|três|leilões
sofrê-|la	sofrê|-la	sofrê-la	Bem|basta|sofrê-|la|,|bem
reunir-|se	reunir|-se	reunir-se	associativos|irão|reunir-|se|com|o
acumulam-|se	acumulam|-se	acumulam-se	os|indícios|acumulam-|se|em|esse
verá-|se	verá|-se	ver-se-á	Outubro|,|verá-|se|se|estamos
Sobem-|se	Sobem|-se	Sobem-se	Sobem-|se|os|degraus
descem-|se	descem|-se	descem-se	sucesso|ou|descem-|se|,|em
serviu-|se	serviu|-se	serviu-se	O|PC|serviu-|se|de|a
interrompê-|la	interrompê|-la	interrompê-la	quer|a|interrompê-|la|,|deve
esboroar-|se	esboroar|-se	esboroar-se	que|poderá|esboroar-|se|totalmente|se
excluindo-|se	excluindo|-se	excluindo-se	--|,|excluindo-|se|de|esta
refugio-|me	refugio|-me	refugio-me	Traumatizado|,|refugio-|me|em|o
dão-|lhes	dão|-lhes	dão-lhes	flores|,|dão-|lhes|música|pimba
repetem-|se	repetem|-se	repetem-se	de|sincronismo|repetem-|se|com|enlouquecedora
declarar-|se	declarar|-se	declarar-se	seguinte|a|declarar-|se|,|dias
queixam-|se	queixam|-se	queixam-se	diplomatas|brasileiros|queixam-|se|de|a
considerar-|se	considerar|-se	considerar-se	que|podem|considerar-|se|fora|de
aguentar-|se	aguentar|-se	aguentar-se	que|consegue|aguentar-|se|em|o
serve-|se	serve|-se	serve-se	Itália|)|serve-|se|,|entre
cruzam-|se	cruzam|-se	cruzam-se	Holandês|--|cruzam-|se|e|fundem-
fundem-|se	fundem|-se	fundem-se	se|e|fundem-|se|a|partir
confirmar-|se	confirmar|-se	confirmar-se	,|a|confirmar-|se|,|apanhará
aproxima-|se	aproxima|-se	aproxima-se	A|data|aproxima-|se|,|há
manifestando-|se	manifestando|-se	manifestando-se	deputado|,|manifestando-|se|preocupado|com
reunir-|se	reunir|-se	reunir-se	voltam|a|reunir-|se|a|partir
deve-|se	deve|-se	deve-se	,|isto|deve-|se|a|todo
posiciona-|se	posiciona|-se	posiciona-se	mundial|,|posiciona-|se|agora|como
preocupar-|se	preocupar|-se	preocupar-se	que|devem|preocupar-|se|com|esse
imprimir-|lhes	imprimir|-lhes	imprimir-lhes	reformas|e|imprimir-|lhes|uma|orientação
ama-|lo	amá|-lo	amá-lo	continuarão|a|ama-|lo|quando|ele
roubar-|lhe	roubar|-lhe	roubar-lhe	dispostos|a|roubar-|lhe|o|terceiro
tem-|se	tem|-se	tem-se	esta|região|tem-|se|mantido|calma
seja-|se	seja|-se	seja-se	região|,|seja-|se|civil|ou
realiza-|se	realiza|-se	realiza-se	22h30|,|realiza-|se|o|II
presume-|se	presume|-se	presume-se	e|,|presume-|se|,|maiores
depararam-|se	depararam|-se	depararam-se	,|mas|depararam-|se|com|uma
passou-|se	passou|-se	passou-se	essas|atrocidades|passou-|se|há|60
trata-|se	trata|-se	trata-se	--|,|trata-|se|de|um
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|facto
deslocar-|se	deslocar|-se	deslocar-se	,|deverá|deslocar-|se|hoje|a
formou-|se	formou|-se	formou-se	,|e|formou-|se|em|a
dá-|lhe	dá|-lhe	dá-lhe	última|sondagem|dá-|lhe|o|apoio
apresentou-|se	apresentou|-se	apresentou-se	o|Sporting|apresentou-|se|em|o
decidiu-|se	decidiu|-se	decidiu-se	Henrique|Calisto|decidiu-|se|,|por
encontra-|se	encontra|-se	encontra-se	,|Soares|encontra-|se|com|agricultores
encontra-|se	encontra|-se	encontra-se	Mafra|,|encontra-|se|de|novo
confirma-|a	confirma|-a	confirma-a	In|»|confirma-|a
tornou-|se	tornou|-se	tornou-se	,|1994|tornou-|se|um|ano
atribuindo-|o	atribuindo|-o	atribuindo-o	zona|,|atribuindo-|o|a|a
Recorde-|se	Recorde|-se	Recorde-se	Recorde-|se|que|as
apresenta-|se	apresenta|-se	apresenta-se	mais|,|apresenta-|se|como|o
dizendo-|lhe	dizendo|-lhe	dizendo-lhe	anfitrião|,|dizendo-|lhe|«|Não
atirando-|lhe	atirando|-lhe	atirando-lhe	...|e|atirando-|lhe|com|a
dividiam-|se	dividiam|-se	dividiam-se	as|opiniões|dividiam-|se|um|pouco
verificou-|se	verificou|-se	verificou-se	área|queimada|verificou-|se|em|o
reacender-|se	reacender|-se	reacender-se	voltou|a|reacender-|se|em|a
retirar-|nos	retirar|-nos	retirar-nos	que|queremos|retirar-|nos|de|o
respondem-|me	respondem|-me	respondem-me	imprensa|síria|respondem-|me|:|não
queixou-|se	queixou|-se	queixou-se	»|,|queixou-|se|Netanyahu
impede-|a	impede|-a	impede-a	prática|,|impede-|a|»
entregam-|se	entregam|-se	entregam-se	de|Matos|entregam-|se|com|tal
pensar-|se	pensar|-se	pensar-se	Chegou|a|pensar-|se|em|uma
telefonaram-|me	telefonaram|-me	telefonaram-me	,|e|telefonaram-|me
fez-|se	fez|-se	fez-se	nada|,|fez-|se|um|vazio
responde-|nos	responde|-nos	responde-nos	,|Whipp|responde-|nos|que|acha
fornecer-|lhe	fornecer|-lhe	fornecer-lhe	o|conjunto|fornecer-|lhe|um|novo
tratava-|se	tratava|-se	tratava-se	essencial|,|tratava-|se|de|a
encontrava-|se	encontrava|-se	encontrava-se	mas|,|encontrava-|se|em|o
exigiam-|lhe	exigiam|-lhe	exigiam-lhe	as|aulas|exigiam-|lhe|diariamente|um
fazer-|lhe	fazer|-lhe	fazer-lhe	,|resolveu|fazer-|lhe|uma|surpresa
oferecendo-|lhe	oferecendo|-lhe	oferecendo-lhe	surpresa|,|oferecendo-|lhe|umas|botas
tirava-|as	tirava|-as	tirava-as	ninguém|,|tirava-|as|e|ia
comprometeu-|se	comprometeu|-se	comprometeu-se	os|Açores|comprometeu-|se|a|pagar
destina-|se	destina|-se	destina-se	comprimento|,|destina-|se|a|o
Adivinha-|se	Adivinha|-se	Adivinha-se	Adivinha-|se|que|a
reunir-|se	reunir|-se	reunir-se	estado|a|reunir-|se|e|a
contam-|se	contam|-se	contam-se	28|expositores|contam-|se|as|autarquias
Vê-|se	Vê|-se	Vê-se	Vê-|se|que|este
tornar-|se	tornar|-se	tornar-se	cristianismo|iria|tornar-|se|a|religião
executa-|los	executá|-los	executá-los	e|ameaçou|executa-|los|caso|não
inicia-|se	inicia|-se	inicia-se	de|Brandão|inicia-|se|também|o
orgulhar-|se	orgulhar|-se	orgulhar-se	Jersey|pode|orgulhar-|se|de|ter
seguindo-|se	seguindo|-se	seguindo-se	futebolistas|,|seguindo-|se|o|Parma
tratar-|se	tratar|-se	tratar-se	que|deveria|tratar-|se|de|...
fazer-|me	fazer|-me	fazer-me	ter|conseguido|fazer-|me|entender|por
Diz-|se	Diz|-se	Diz-se	Diz-|se|que|um
torna-|se	torna|-se	torna-se	--|e|torna-|se|um|sucesso
aproximando-|se	aproximando|-se	aproximando-se	marcos|,|aproximando-|se|cautelosamente|de
valorizou-|se	valorizou|-se	valorizou-se	Paris|,|valorizou-|se|1,43|por
encontrava-|se	encontrava|-se	encontrava-se	a|sessão|encontrava-|se|em|alta
cotar-|se	cotar|-se	cotar-se	Jones|a|cotar-|se|em|os
torna-|se	torna|-se	torna-se	a|ASGFIM|torna-|se|,|em
torná-|lo	torná|-lo	torná-lo	forma|a|torná-|lo|mais|competitivo
descreve-|se	descreve|-se	descreve-se	os|visitantes|descreve-|se|com|uma
elevou-|se	elevou|-se	elevou-se	o|estrangeiro|elevou-|se|em|o
destinam-|se	destinam|-se	destinam-se	valores|registados|destinam-|se|a|o
elevou-|se	elevou|-se	elevou-se	turno|,|elevou-|se|a|298
chamando-|lhe	chamando|-lhe	chamando-lhe	Dias|,|chamando-|lhe|«|ex-camarada
recorde-|se	recorde|-se	recorde-se	»|(|recorde-|se|que|Oliveira
abeirou-|se	abeirou|-se	abeirou-se	)|,|abeirou-|se|de|Gomes
desculpou-|se	desculpou|-se	desculpou-se	O|presidente|desculpou-|se|,|lembrando-
lembrando-|lhe	lembrando|-lhe	lembrando-lhe	se|,|lembrando-|lhe|,|mais
dá-|me	dá|-me	dá-me	filho|,|dá-|me|um|abraço
aproxima-|se	aproxima|-se	aproxima-se	Observatório|,|aproxima-|se|de|os
tem-|se	tem|-se	tem-se	o|Governo|tem-|se|empenhado|em
entrega-|se	entrega|-se	entrega-se	vídeo|,|entrega-|se|a|a
inalá-|lo	inalá|-lo	inalá-lo	era|difícil|inalá-|lo|profundamente
ficava-|se	ficava|-se	ficava-se	o|fumo|ficava-|se|por|as
depositava-|se	depositava|-se	depositava-se	superiores|e|depositava-|se|em|a
levando-|o	levando|-o	levando-o	profundamente|,|levando-|o|mesmo|até
passeou-|se	passeou|-se	passeou-se	Pinochet|passeou-|se|por|Portugal
brindou-|os	brindou|-os	brindou-os	Comissão|Europeia|brindou-|os|com|as
lançou-|se	lançou|-se	lançou-se	o|indivíduo|lançou-|se|sobre|ela
tapou-|lhe	tapou|-lhe	tapou-lhe	ela|,|tapou-|lhe|a|boca
agrediu-|a	agrediu|-a	agrediu-a	boca|,|agrediu-|a|e|atirou-
atirou-|a	atirou|-a	atirou-a	a|e|atirou-|a|a|o
rasgou-|lhe	rasgou|-lhe	rasgou-lhe	Depois|rasgou-|lhe|a|roupa
valorizar-|se	valorizar|-se	valorizar-se	continuam|a|valorizar-|se|de|uma
inscreveu-|se	inscreveu|-se	inscreveu-se	Mais|tarde|inscreveu-|se|em|uma
mostra-|se	mostra|-se	mostra-se	José|Saldanha|mostra-|se|ainda|«
estabelecendo-|se	estabelecendo|-se	estabelecendo-se	professores|,|estabelecendo-|se|agora|novas
verifica-|se	verifica|-se	verifica-se	Depois|,|verifica-|se|uma|enorme
Ignora-|se	Ignora|-se	Ignora-se	Ignora-|se|qual|o
visitá-|la	visitá|-la	visitá-la	Excelência|a|visitá-|la
fica-|se	fica|-se	fica-se	,|hoje|fica-|se|por|os
revelar-|se	revelar|-se	revelar-se	que|poderá|revelar-|se|brilhante|e
ouviu-|se	ouviu|-se	ouviu-se	pneu|e|ouviu-|se|um|grande
tornou-|se	tornou|-se	tornou-se	Depois|,|tornou-|se|local|de
levantar-|se	levantar|-se	levantar-se	conseguem|sempre|levantar-|se|,|exigiram
avistou-|se	avistou|-se	avistou-se	Administração|Interna|avistou-|se|ontem|com
complicar-|se	complicar|-se	complicar-se	podem|todas|complicar-|se|,|caso
propõe-|se	propõe|-se	propõe-se	nova|equipa|propõe-|se|fazer|um
referindo-|se	referindo|-se	referindo-se	jornal|,|referindo-|se|a|a
deve-|se	deve|-se	deve-se	recolhido|,|deve-|se|a|a
propunham-|se	propunham|-se	propunham-se	Encontros|Acarte|propunham-|se|responder|a
mantê-|lo	mantê|-lo	mantê-lo	público|,|mantê-|lo|dentro|de
conduzi-|lo	conduzi|-lo	conduzi-lo	seja|necessário|conduzi-|lo|por|a
recorde-|se	recorde|-se	recorde-se	inspecções|,|recorde-|se|,|começaram
impõe-|se	impõe|-se	impõe-se	Belém|,|impõe-|se|como|imprescindível
relaciona-|se	relaciona|-se	relaciona-se	e|obviamente|relaciona-|se|com|o
difundiram-|se	difundiram|-se	difundiram-se	Os|Gopher|difundiram-|se|muito|rapidamente
classificaram-|se	classificaram|-se	classificaram-se	Filipe|Ochoa|classificaram-|se|para|a
pôde-|se	pôde|-se	pôde-se	»|,|pôde-|se|desde|logo
situando-|se	situando|-se	situando-se	Veneza|,|situando-|se|principalmente|a
apresentar-|se	apresentar|-se	apresentar-se	voltou|a|apresentar-|se|bastante|pressionada
revestir-|se	revestir|-se	revestir-se	Isso|poderia|revestir-|se|de|particular
reuniram-|se	reuniram|-se	reuniram-se	a|expedição|reuniram-|se|com|a
dizer-|se	dizer|-se	dizer-se	Podem|dizer-|se|coisas|muito
afastou-|se	afastou|-se	afastou-se	de|Palmela|afastou-|se|e|,
capitalizá-|la	capitalizá|-la	capitalizá-la	e|a|capitalizá-|la
situa-|se	situa|-se	situa-se	Adriana|Varejão|situa-|se|em|o
estabelecer-|se	estabelecer|-se	estabelecer-se	depende|de|estabelecer-|se|em|a
inclui-|se	inclui|-se	inclui-se	--|,|inclui-|se|,|como
matá-|la	matá|-la	matá-la	«|para|matá-|la|»|,
desvincular-|se	desvincular|-se	desvincular-se	94|poderá|desvincular-|se|de|o
desvincular-|se	desvincular|-se	desvincular-se	vir|a|desvincular-|se|de|o
encontrava-|se	encontrava|-se	encontrava-se	sangue|e|encontrava-|se|em|acelerado
encontra-|se	encontra|-se	encontra-se	Couto|Ferreira|encontra-|se|a|ser
ganha-|los	ganhá|-los	ganhá-los	--|pode|ganha-|los|se|os
joga-|los	jogá|-los	jogá-los	souber|«|joga-|los|»
tornar-|se	tornar|-se	tornar-se	»|a|tornar-|se|um|jornal
instalou-|se	instalou|-se	instalou-se	caminho|,|instalou-|se|em|a
bastar-|se	bastar|-se	bastar-se	populações|conseguem|bastar-|se|em|alimentos
preocupar-|se	preocupar|-se	preocupar-se	você|deveria|preocupar-|se|com|os
desertificar-|se	desertificar|-se	desertificar-se	está|a|desertificar-|se
desconhecendo-|se	desconhecendo|-se	desconhecendo-se	combate|,|desconhecendo-|se|até|que
faze-|lo	fazê|-lo	fazê-lo	Parlamento|a|faze-|lo|,|e
distanciarem-|se	distanciarem|-se	distanciarem-se	os|quarks|distanciarem-|se|o|suficiente
referindo-|se	referindo|-se	referindo-se	ele|,|referindo-|se|a|a
divertir-|nos	divertir|-nos	divertir-nos	que|íamos|divertir-|nos|e|que
Seguiu-|se	Seguiu|-se	Seguiu-se	Seguiu-|se|uma|troca
pronunciou-|se	pronunciou|-se	pronunciou-se	a|maioria|pronunciou-|se|por|o
passeou-|se	passeou|-se	passeou-se	falso|médico|passeou-|se|durante|por
avaliam-|se	avaliam|-se	avaliam-se	um|povo|avaliam-|se|por|a
iniciou-|se	iniciou|-se	iniciou-se	de|aquarofilia|iniciou-|se|ontem|com
contam-|se	contam|-se	contam-se	de|formação|contam-|se|entre|os
lançar-|se	lançar|-se	lançar-se	que|decidiu|lançar-|se|em|esta
situar-|se	situar|-se	situar-se	filme|deverão|situar-|se|entre|os
empenhar-|se	empenhar|-se	empenhar-se	)|a|empenhar-|se|em|propalar
foi-|me	foi|-me	foi-me	esse|direito|foi-|me|sempre|negado
disse-|me	disse|-me	disse-me	O|polícia|disse-|me|que|o
levantar-|se	levantar|-se	levantar-se	vozes|a|levantar-|se|em|a
sabe-|se	sabe|-se	sabe-se	o|menos|sabe-|se|onde|e
Queixa-|se	Queixa|-se	Queixa-se	Queixa-|se|a|o
afirmam-|se	afirmam|-se	afirmam-se	OLP|)|afirmam-|se|dispostos|a
mostrar-|se	mostrar|-se	mostrar-se	Voltando|a|mostrar-|se|particularmente|a
confirmou-|se	confirmou|-se	confirmou-se	pilotos|temiam|confirmou-|se|,|com
serve-|nos	serve|-nos	serve-nos	A|chuva|serve-|nos|perfeitamente|porque
regozijou-|se	regozijou|-se	regozijou-se	»|,|regozijou-|se|,|apesar
dotá-|lo	dotá|-lo	dotá-lo	,|visando|dotá-|lo|de|poderes
encaminhar-|se	encaminhar|-se	encaminhar-se	começam|a|encaminhar-|se|para|a
riem-|se	riem|-se	riem-se	aberto|e|riem-|se|de|os
Respirou-|se	Respirou|-se	Respirou-se	Respirou-|se|fundo|,
recriminam-|se	recriminam|-se	recriminam-se	chão|«|recriminam-|se|»|entre
seguiram-|se	seguiram|-se	seguiram-se	1m22,24s|,|seguiram-|se|a|a
separaram-|se	separaram|-se	separaram-se	escolar|,|separaram-|se|em|o
isolou-|se	isolou|-se	isolou-se	FC|Porto|isolou-|se|em|o
tratando-|se	tratando|-se	tratando-se	»|,|tratando-|se|de|«
Encontra-|se	Encontra|-se	Encontra-se	Encontra-|se|cortada|em
iniciar-|se	iniciar|-se	iniciar-se	ano|vai|iniciar-|se|como|escola
prevendo-|se	prevendo|-se	prevendo-se	internacionalização|,|prevendo-|se|apenas|«
Fez-|lo	Fê|-lo	Fê-lo	Fez-|lo|ontem|,
mandar-|las	mandá|-las	mandá-las	)|e|mandar-|las|em|a
despedia-|se	despedia|-se	despedia-se	nome|e|despedia-|se|com|um
descreverem-|se	descreverem|-se	descreverem-se	vida|a|descreverem-|se|uns|a
encontra-|se	encontra|-se	encontra-se	a|China|encontra-|se|«|em
obrigando-|os	obrigando|-os	obrigando-os	cesto|,|obrigando-|os|a|um
injectar-|se	injectar|-se	injectar-se	precisariam|de|injectar-|se|em|os
integrou-|se	integrou|-se	integrou-se	confiante|,|integrou-|se|bem|em
assistiu-|se	assistiu|-se	assistiu-se	anos|,|assistiu-|se|a|um
disse-|nos	disse|-nos	disse-nos	Orçamento|]|disse-|nos|que|quando
apresentou-|se	apresentou|-se	apresentou-se	Monetário|Interbancário|apresentou-|se|logo|em
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|uma
apressou-|se	apressou|-se	apressou-se	Clinton|apressou-|se|a|dizer
conta-|se	conta|-se	conta-se	primeiros|,|conta-|se|o|advogado
realizar-|se	realizar|-se	realizar-se	que|deverá|realizar-|se|em|uma
concluir-|se	concluir|-se	concluir-se	como|pode|concluir-|se|por|as
desviar-|se	desviar|-se	desviar-se	tem|de|desviar-|se|de|autênticas
ajudando-|os	ajudando|-os	ajudando-os	pilotos|,|ajudando-|os|sempre|que
queixa-|se	queixa|-se	queixa-se	decreto|e|queixa-|se|de|ter
agrada-|me	agrada|-me	agrada-me	A|ideia|agrada-|me|e|já
demitiu-|se	demitiu|-se	demitiu-se	Honra|,|demitiu-|se|em|bloco
pode-|se	pode|-se	pode-se	«|logo|pode-|se|concluir|que
verificar-|se	verificar|-se	verificar-se	venha|a|verificar-|se|,|a
revela-|se	revela|-se	revela-se	acaso|,|revela-|se|alguém|que
recandidatar-|se	recandidatar|-se	recandidatar-se	caso|decida|recandidatar-|se
reuniu-|se	reuniu|-se	reuniu-se	Branca|,|reuniu-|se|por|a
impôs-|se	impôs|-se	impôs-se	E|)|impôs-|se|com|1m51,484s
Agarrou-|se	Agarrou|-se	Agarrou-se	Agarrou-|se|a|a
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|o
sendo-|se	sendo|-se	sendo-se	difícil|,|sendo-|se|fotógrafo|,
sendo-|se	sendo|-se	sendo-se	ainda|,|sendo-|se|fotojornalista|,
Vejam-|se	Vejam|-se	Vejam-se	Vejam-|se|as|suas
consegue-|o	consegue|-o	consegue-o	Ele|consegue-|o
faz-|lo	fá|-lo	fá-lo	,|mas|faz-|lo|sem|pragmatismo
mostrar-|nos	mostrar|-nos	mostrar-nos	não|seja|mostrar-|nos|o|que
opor-|se	opor|-se	opor-se	metalúrgica|a|opor-|se|a|a
proporcionar-|lhe	proporcionar|-lhe	proporcionar-lhe	é|conveniente|proporcionar-|lhe|essa|estimulação
iniciou-|se	iniciou|-se	iniciou-se	Depois|,|iniciou-|se|a|colaboração
fazia-|se	fazia|-se	fazia-se	O|trabalho|fazia-|se|em|o
citem-|se	citem|-se	citem-se	exemplo|,|citem-|se|originais|(
Tendo-|se	Tendo|-se	Tendo-se	Tendo-|se|tornado|difícil
reúne-|se	reúne|-se	reúne-se	o|PS|reúne-|se|em|a
Trata-|se	Trata|-se	Trata-se	Trata-|se|,|segundo
deram-|se	deram|-se	deram-se	tragédias|artísticas|deram-|se|com|as
debater-|se	debater|-se	debater-se	continua|a|debater-|se|com|o
Esperam-|se	Esperam|-se	Esperam-se	Esperam-|se|,|agora
desenvolve-|se	desenvolve|-se	desenvolve-se	a|equipa|desenvolve-|se|sempre|muito
pensar-|se	pensar|-se	pensar-se	princípio|chegou|pensar-|se|instalar|um
perdeu-|se	perdeu|-se	perdeu-se	descontraído|,|perdeu-|se|a|contar
torná-|la	torná|-la	torná-la	rede|,|torná-|la|agradável|e
fazia-|nos	fazia|-nos	fazia-nos	Este|fazia-|nos|acreditar|que
Recorde-|se	Recorde|-se	Recorde-se	Recorde-|se|aliás|que
trata-|se	trata|-se	trata-se	trata-|se|de|as
lê-|se	lê|-se	lê-se	o|programa|lê-|se|que|ele
refere-|se	refere|-se	refere-se	O|texto|refere-|se|,|nomeadamente
queixa-|se	queixa|-se	queixa-se	freguesia|,|queixa-|se|também|de
sustenta-|se	sustenta|-se	sustenta-se	de|Brandão|sustenta-|se|em|uma
interroga-|se	interroga|-se	interroga-se	falsas|e|interroga-|se
Aguarda-|se	Aguarda|-se	Aguarda-se	Aguarda-|se|que|o
Sustêm-|se	Sustêm|-se	Sustêm-se	Sustêm-|se|as|respirações
encontram-|se	encontram|-se	encontram-se	primária|e|encontram-|se|em|a
custaram-|lhe	custaram|-lhe	custaram-lhe	As|críticas|custaram-|lhe|o|exílio
Reencontrou-|se	Reencontrou|-se	Reencontrou-se	Reencontrou-|se|com|o
referia-|se	referia|-se	referia-se	Jaime|Gama|referia-|se|a|um
apresentá-|lo	apresentá|-lo	apresentá-lo	se|pretender|apresentá-|lo|»
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|a
portava-|se	portava|-se	portava-se	si|,|portava-|se|como|um
Aproximou-|se	Aproximou|-se	Aproximou-se	Aproximou-|se|e|o
Subiram-|lhe	Subiram|-lhe	Subiram-lhe	Subiram-|lhe|as|lágrimas
esquivou-|se	esquivou|-se	esquivou-se	O|outro|esquivou-|se|delicadamente|,
convidou-|o	convidou|-o	convidou-o	,|mas|convidou-|o|a|subir
seguindo-|se	seguindo|-se	seguindo-se	procura|,|seguindo-|se|então|o
deslocar-|se	deslocar|-se	deslocar-se	mesmo|a|deslocar-|se|a|as
disse-|nos	disse|-nos	disse-nos	»|,|disse-|nos|o|homem
mostrou-|se	mostrou|-se	mostrou-se	Ferro|Rodrigues|mostrou-|se|descontente|com
revelou-|se	revelou|-se	revelou-se	realizador|)|revelou-|se|bastante|interessante
Fazia-|se	Fazia|-se	Fazia-se	Fazia-|se|passar|por
simplificam-|se	simplificam|-se	simplificam-se	As|letras|simplificam-|se|,|para
tratando-|se	tratando|-se	tratando-se	inconsistente|,|tratando-|se|afinal|de
deslocou-|se	deslocou|-se	deslocou-se	Pedro|Conceição|deslocou-|se|a|a
dize-|lo	dizê|-lo	dizê-lo	minha|parte|dize-|lo|,|posso
justifica-|se	justifica|-se	justifica-se	»|,|justifica-|se|em|uma
aliou-|se	aliou|-se	aliou-se	o|sonho|aliou-|se|a|a
reconhecendo-|se	reconhecendo|-se	reconhecendo-se	lado|,|reconhecendo-|se|,|incapaz
propõem-|se	propõem|-se	propõem-se	sem|Fronteiras|propõem-|se|,|para
envolver-|se	envolver|-se	envolver-se	já|,|envolver-|se|em|a
mantê-|los	mantê|-los	mantê-los	moral|para|mantê-|los|escravizados
aprova-|se	aprova|-se	aprova-se	Primeiro|aprova-|se|o|texto
negocia-|se	negocia|-se	negocia-se	e|depois|negocia-|se|a|aprovação
mostrando-|se	mostrando|-se	mostrando-se	que|acabaram|mostrando-|se|vulneráveis
tê-|la	tê|-la	tê-la	Claudirene|de|tê-|la|estuprado|em
Pode-|se	Pode|-se	Pode-se	Pode-|se|agora|recomendar
distribuir-|los	distribuí|-los	distribuí-los	produtos|para|distribuir-|los|a|seus
provocou-|me	provocou|-me	provocou-me	Aquele|pensamento|provocou-|me|um|arrepio
confrontando-|se	confrontando|-se	confrontando-se	antepassada|e|confrontando-|se|,|por
comunicou-|lhe	comunicou|-lhe	comunicou-lhe	mesquinha|,|comunicou-|lhe|que|,
Trata-|se	Trata|-se	Trata-se	Trata-|se|de|o
dirigiu-|se	dirigiu|-se	dirigiu-se	aeroporto|e|dirigiu-|se|a|o
produzi-|lo	produzi|-lo	produzi-lo	intenção|de|produzi-|lo|ou|sequer
tornara-|se	tornara|-se	tornara-se	Simplesmente|tornara-|se|impossível|,
convertera-|se	convertera|-se	convertera-se	Tal|política|convertera-|se|,|com
depara-|se	depara|-se	depara-se	de|preços|depara-|se|agora|mais
encontra-|se	encontra|-se	encontra-se	Vital|Borkelmans|encontra-|se|também|com
acariciar-|lhe	acariciar|-lhe	acariciar-lhe	sorte|a|acariciar-|lhe|a|cara
limitou-|se	limitou|-se	limitou-se	o|episódio|limitou-|se|a|um
diga-|se	diga|-se	diga-se	mercado|,|diga-|se|é|o
referindo-|se	referindo|-se	referindo-se	afirmou|,|referindo-|se|a|a
